2020 CIP Code,2020 CIP Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
3.0103,Environmental Studies,13-1041.00,Compliance Officers
3.0103,Environmental Studies,13-1041.01,Environmental Compliance Inspectors
3.0103,Environmental Studies,13-1041.03,Equal Opportunity Representatives and Officers
3.0103,Environmental Studies,13-1041.04,Government Property Inspectors and Investigators
3.0103,Environmental Studies,13-1041.07,Regulatory Affairs Specialists
3.0103,Environmental Studies,13-1041.08,Customs Brokers
3.0103,Environmental Studies,19-2041.00,"Environmental Scientists and Specialists, Including Health"
3.0103,Environmental Studies,19-2041.01,Climate Change Policy Analysts
3.0103,Environmental Studies,19-2041.02,Environmental Restoration Planners
3.0103,Environmental Studies,19-2041.03,Industrial Ecologists
3.0103,Environmental Studies,25-1053.00,"Environmental Science Teachers, Postsecondary"
3.0104,Environmental Science,13-1041.00,Compliance Officers
3.0104,Environmental Science,13-1041.01,Environmental Compliance Inspectors
3.0104,Environmental Science,13-1041.04,Government Property Inspectors and Investigators
3.0104,Environmental Science,13-1041.06,Coroners
3.0104,Environmental Science,13-1041.07,Regulatory Affairs Specialists
3.0104,Environmental Science,19-2041.00,"Environmental Scientists and Specialists, Including Health"
3.0104,Environmental Science,19-2041.01,Climate Change Policy Analysts
3.0104,Environmental Science,19-2041.02,Environmental Restoration Planners
3.0104,Environmental Science,19-2041.03,Industrial Ecologists
3.0104,Environmental Science,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
3.0104,Environmental Science,19-4071.00,Forest and Conservation Technicians
3.0104,Environmental Science,25-1053.00,"Environmental Science Teachers, Postsecondary"
5.0105,"Russian, Central European, East European and Eurasian Studies",25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
5.0199,"Area Studies, Other",25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
9.01,"Communication, General",11-2032.00,Public Relations Managers
9.01,"Communication, General",11-2033.00,Fundraising Managers
9.01,"Communication, General",13-1131.00,Fundraisers
9.01,"Communication, General",25-1122.00,"Communications Teachers, Postsecondary"
9.01,"Communication, General",27-3011.00,Broadcast Announcers and Radio Disc Jockeys
9.01,"Communication, General",27-3023.00,"News Analysts, Reporters, and Journalists"
9.01,"Communication, General",27-3031.00,Public Relations Specialists
9.01,"Communication, General",27-3041.00,Editors
9.01,"Communication, General",27-3043.00,Writers and Authors
9.01,"Communication, General",27-3043.05,"Poets, Lyricists and Creative Writers"
9.0702,Digital Communication and Media/Multimedia,11-9199.00,"Managers, All Other"
9.0702,Digital Communication and Media/Multimedia,11-9199.01,Regulatory Affairs Managers
9.0702,Digital Communication and Media/Multimedia,11-9199.02,Compliance Managers
9.0702,Digital Communication and Media/Multimedia,11-9199.08,Loss Prevention Managers
9.0702,Digital Communication and Media/Multimedia,11-9199.10,Wind Energy Development Managers
9.0702,Digital Communication and Media/Multimedia,15-1255.00,Web and Digital Interface Designers
9.0702,Digital Communication and Media/Multimedia,15-1255.01,Video Game Designers
9.0702,Digital Communication and Media/Multimedia,25-1122.00,"Communications Teachers, Postsecondary"
9.0702,Digital Communication and Media/Multimedia,27-3099.00,"Media and Communication Workers, All Other"
11.0102,Artificial Intelligence,15-1221.00,Computer and Information Research Scientists
11.0102,Artificial Intelligence,15-1252.00,Software Developers
11.0102,Artificial Intelligence,15-2051.00,Data Scientists
11.0102,Artificial Intelligence,15-2051.01,Business Intelligence Analysts
11.0102,Artificial Intelligence,15-2051.02,Clinical Data Managers
11.0102,Artificial Intelligence,25-1021.00,"Computer Science Teachers, Postsecondary"
11.0701,Computer Science,11-3021.00,Computer and Information Systems Managers
11.0701,Computer Science,15-1212.00,Information Security Analysts
11.0701,Computer Science,15-1221.00,Computer and Information Research Scientists
11.0701,Computer Science,15-1231.00,Computer Network Support Specialists
11.0701,Computer Science,15-1243.00,Database Architects
11.0701,Computer Science,15-1243.01,Data Warehousing Specialists
11.0701,Computer Science,15-1251.00,Computer Programmers
11.0701,Computer Science,15-1252.00,Software Developers
11.0701,Computer Science,15-1253.00,Software Quality Assurance Analysts and Testers
11.0701,Computer Science,15-1254.00,Web Developers
11.0701,Computer Science,15-1255.00,Web and Digital Interface Designers
11.0701,Computer Science,15-1255.01,Video Game Designers
11.0701,Computer Science,15-1299.00,"Computer Occupations, All Other"
11.0701,Computer Science,15-1299.01,Web Administrators
11.0701,Computer Science,15-1299.02,Geographic Information Systems Technologists and Technicians
11.0701,Computer Science,15-1299.03,Document Management Specialists
11.0701,Computer Science,15-1299.04,Penetration Testers
11.0701,Computer Science,15-1299.05,Information Security Engineers
11.0701,Computer Science,15-1299.06,Digital Forensics Analysts
11.0701,Computer Science,15-1299.07,Blockchain Engineers
11.0701,Computer Science,15-1299.08,Computer Systems Engineers/Architects
11.0701,Computer Science,15-1299.09,Information Technology Project Managers
11.0701,Computer Science,15-2051.00,Data Scientists
11.0701,Computer Science,15-2051.01,Business Intelligence Analysts
11.0701,Computer Science,15-2051.02,Clinical Data Managers
11.0701,Computer Science,25-1021.00,"Computer Science Teachers, Postsecondary"
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,11-3021.00,Computer and Information Systems Managers
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1212.00,Information Security Analysts
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1231.00,Computer Network Support Specialists
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1241.00,Computer Network Architects
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1241.01,Telecommunications Engineering Specialists
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1242.00,Database Administrators
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1243.00,Database Architects
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1243.01,Data Warehousing Specialists
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,15-1244.00,Network and Computer Systems Administrators
13.1202,Elementary Education and Teaching,25-1081.00,"Education Teachers, Postsecondary"
13.1202,Elementary Education and Teaching,25-2021.00,"Elementary School Teachers, Except Special Education"
13.1312,Music Teacher Education,25-1081.00,"Education Teachers, Postsecondary"
13.1312,Music Teacher Education,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
13.1312,Music Teacher Education,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
13.1312,Music Teacher Education,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
16.0101,"Foreign Languages and Literatures, General",25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
16.0101,"Foreign Languages and Literatures, General",25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
16.0101,"Foreign Languages and Literatures, General",27-3091.00,Interpreters and Translators
23.0101,"English Language and Literature, General",25-1123.00,"English Language and Literature Teachers, Postsecondary"
23.0101,"English Language and Literature, General",25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
23.0101,"English Language and Literature, General",43-9081.00,Proofreaders and Copy Markers
26.0101,"Biology/Biological Sciences, General",11-9121.00,Natural Sciences Managers
26.0101,"Biology/Biological Sciences, General",11-9121.01,Clinical Research Coordinators
26.0101,"Biology/Biological Sciences, General",11-9121.02,Water Resource Specialists
26.0101,"Biology/Biological Sciences, General",19-1029.00,"Biological Scientists, All Other"
26.0101,"Biology/Biological Sciences, General",19-1029.01,Bioinformatics Scientists
26.0101,"Biology/Biological Sciences, General",19-1029.02,Molecular and Cellular Biologists
26.0101,"Biology/Biological Sciences, General",19-1029.03,Geneticists
26.0101,"Biology/Biological Sciences, General",19-1029.04,Biologists
26.0101,"Biology/Biological Sciences, General",19-1099.00,"Life Scientists, All Other"
26.0101,"Biology/Biological Sciences, General",19-4012.00,Agricultural Technicians
26.0101,"Biology/Biological Sciences, General",19-4012.01,Precision Agriculture Technicians
26.0101,"Biology/Biological Sciences, General",19-4013.00,Food Science Technicians
26.0101,"Biology/Biological Sciences, General",19-4021.00,Biological Technicians
26.0101,"Biology/Biological Sciences, General",19-4092.00,Forensic Science Technicians
26.0101,"Biology/Biological Sciences, General",25-1042.00,"Biological Science Teachers, Postsecondary"
26.0101,"Biology/Biological Sciences, General",25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
26.0202,Biochemistry,11-9121.00,Natural Sciences Managers
26.0202,Biochemistry,11-9121.01,Clinical Research Coordinators
26.0202,Biochemistry,11-9121.02,Water Resource Specialists
26.0202,Biochemistry,19-1021.00,Biochemists and Biophysicists
26.0202,Biochemistry,19-1042.00,"Medical Scientists, Except Epidemiologists"
26.0202,Biochemistry,19-4013.00,Food Science Technicians
26.0202,Biochemistry,19-4021.00,Biological Technicians
26.0202,Biochemistry,25-1042.00,"Biological Science Teachers, Postsecondary"
26.0406,Cell/Cellular and Molecular Biology,11-9121.00,Natural Sciences Managers
26.0406,Cell/Cellular and Molecular Biology,11-9121.01,Clinical Research Coordinators
26.0406,Cell/Cellular and Molecular Biology,11-9121.02,Water Resource Specialists
26.0406,Cell/Cellular and Molecular Biology,19-1029.00,"Biological Scientists, All Other"
26.0406,Cell/Cellular and Molecular Biology,19-1029.01,Bioinformatics Scientists
26.0406,Cell/Cellular and Molecular Biology,19-1029.02,Molecular and Cellular Biologists
26.0406,Cell/Cellular and Molecular Biology,19-1029.03,Geneticists
26.0406,Cell/Cellular and Molecular Biology,19-1029.04,Biologists
26.0406,Cell/Cellular and Molecular Biology,19-1042.00,"Medical Scientists, Except Epidemiologists"
26.0406,Cell/Cellular and Molecular Biology,19-4021.00,Biological Technicians
26.0406,Cell/Cellular and Molecular Biology,25-1042.00,"Biological Science Teachers, Postsecondary"
26.1304,Aquatic Biology/Limnology,19-1029.00,"Biological Scientists, All Other"
26.1304,Aquatic Biology/Limnology,19-1029.01,Bioinformatics Scientists
26.1304,Aquatic Biology/Limnology,19-1029.02,Molecular and Cellular Biologists
26.1304,Aquatic Biology/Limnology,19-1029.03,Geneticists
26.1304,Aquatic Biology/Limnology,19-1029.04,Biologists
26.1304,Aquatic Biology/Limnology,19-4021.00,Biological Technicians
26.1304,Aquatic Biology/Limnology,25-1042.00,"Biological Science Teachers, Postsecondary"
27.0101,"Mathematics, General",11-9121.00,Natural Sciences Managers
27.0101,"Mathematics, General",11-9121.01,Clinical Research Coordinators
27.0101,"Mathematics, General",11-9121.02,Water Resource Specialists
27.0101,"Mathematics, General",15-2021.00,Mathematicians
27.0101,"Mathematics, General",15-2041.00,Statisticians
